"sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"13-DWAR-2.0-04242018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-07-24 14:00:00,"ALK",TRUE,78,"mg/l",1,"mg/l",2,"","A",""
"13-DWAR-2.0-04242018-WS","Aluminum",2018-07-24 14:00:00,"7429-90-5",TRUE,1100,"ug/l",23,"ug/l",100,"","A",""
"13-DWAR-2.0-04242018-WS","Arsenic",2018-07-24 14:00:00,"7440-38-2",TRUE,1.7,"ug/l",0.39,"ug/l",1,"","A",""
"13-DWAR-2.0-04242018-WS","Cadmium",2018-07-24 14:00:00,"7440-43-9",TRUE,NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"13-DWAR-2.0-04242018-WS","Calcium",2018-07-24 14:00:00,"7440-70-2",TRUE,31700,"ug/l",110,"ug/l",1000,"E","J","estimated value due to lab error"
"13-DWAR-2.0-04242018-WS","CHLORIDE (AS CL)",2018-07-24 14:00:00,"16887-00-6",TRUE,39.3,"mg/l",0.2,"mg/l",2,"","A",""
"13-DWAR-2.0-04242018-WS","Chlorophyll A",2018-07-24 14:00:00,"479-61-8",TRUE,13.9,"ug/l",NA,"ug/l",0.32,"","A",""
"13-DWAR-2.0-04242018-WS","Copper",2018-07-24 14:00:00,"7440-50-8",TRUE,5.1,"ug/l",0.66,"ug/l",1,"","A",""
"13-DWAR-2.0-04242018-WS","HARDNESS (AS CACO3)",2018-07-24 14:00:00,"HARD",TRUE,104,"mg/l",NA,"mg/l",6.62,"","A",""
"13-DWAR-2.0-04242018-WS","Iron",2018-07-24 14:00:00,"7439-89-6",TRUE,2040,"ug/l",13,"ug/l",100,"","A",""
"13-DWAR-2.0-04242018-WS","Lead",2018-07-24 14:00:00,"7439-92-1",TRUE,1.9,"ug/l",0.067,"ug/l",1,"","A",""
"13-DWAR-2.0-04242018-WS","Magnesium",2018-07-24 14:00:00,"7439-95-4",TRUE,6100,"ug/l",29,"ug/l",1000,"E","J","estimated value due to lab error"
