"sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"17ALG001","ALKALINITY, TOTAL (AS CaCO3)",2017-06-14,"ALK","T",38.4,"mg/l",1,"mg/l",2,"","A",""
"17ALG001","Chlorophyll A",2017-06-14,"479-61-8","T",4.31,"ug/l",NA,"ug/l",0.16,"","J","estimated value due to Equipment Blank error"
"17ALG001","Color, True",2017-06-14,"COLOR","T",15,"color unit",NA,"color unit",1,"","T",""
"17ALG001","Nitrate+Nitrite as Nitrogen",2017-06-14,"NO3NO2N","T",0.115,"mg/l",0.0025,"mg/l",0.0025,"","A",""
"17ALG001","Nitrogen, ammonia (As N)",2017-06-14,"7664-41-7","T",0.0077,"mg/l",8e-04,"mg/l",0.005,"","A",""
"17ALG001","NITROGEN, KJELDAHL, TOTAL",2017-06-14,"KN","T",0.21,"mg/l",0.08,"mg/l",0.1,"","A",""
"17ALG001","pH of Color Analysis",2017-06-14,"PHCOLOR","T",7.65,"pH units",NA,"pH units",NA,"","A",""
"17ALG001","PHOSPHORUS, DISSOLVED (AS P)",2017-06-14,"7723-14-0","D",0.0068,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG001","PHOSPHORUS, TOTAL (AS P)",2017-06-14,"7723-14-0","T",0.0103,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG001","TOTAL ORGANIC CARBON",2017-06-14,"TOC","T",2,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"17ALG002","Color, True",2017-06-14,"COLOR","T",20,"color unit",NA,"color unit",1,"","J","estimated value due to Equipment Blank error"
"17ALG002","Nitrate+Nitrite as Nitrogen",2017-06-14,"NO3NO2N","T",0.258,"mg/l",0.0025,"mg/l",0.0025,"","A",""
"17ALG002","Nitrogen, ammonia (As N)",2017-06-14,"7664-41-7","T",0.0118,"mg/l",8e-04,"mg/l",0.005,"","A",""
"17ALG002","NITROGEN, KJELDAHL, TOTAL",2017-06-14,"KN","T",0.16,"mg/l",0.08,"mg/l",0.1,"","A",""
"17ALG002","pH of Color Analysis",2017-06-14,"PHCOLOR","T",7.45,"pH units",NA,"pH units",NA,"","A",""
"17ALG002","PHOSPHORUS, DISSOLVED (AS P)",2017-06-14,"7723-14-0","D",0.0097,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG002","PHOSPHORUS, TOTAL (AS P)",2017-06-14,"7723-14-0","T",0.0111,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG002","TOTAL ORGANIC CARBON",2017-06-14,"TOC","T",1.8,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"17ALG003","ALKALINITY, TOTAL (AS CaCO3)",2017-06-14,"ALK","T",42.8,"mg/l",1,"mg/l",2,"","A",""
"17ALG003","Chlorophyll A",2017-06-14,"479-61-8","T",2.47,"ug/l",NA,"ug/l",0.16,"","T",""
"17ALG003","Color, True",2017-06-14,"COLOR","T",10,"color unit",NA,"color unit",1,"","T",""
"17ALG003","Nitrate+Nitrite as Nitrogen",2017-06-14,"NO3NO2N","T",0.112,"mg/l",0.0025,"mg/l",0.0025,"","A",""
"17ALG003","Nitrogen, ammonia (As N)",2017-06-14,"7664-41-7","T",0.0155,"mg/l",8e-04,"mg/l",0.005,"","A",""
"17ALG003","NITROGEN, KJELDAHL, TOTAL",2017-06-14,"KN","T",0.3,"mg/l",0.08,"mg/l",0.1,"","A",""
"17ALG003","pH of Color Analysis",2017-06-14,"PHCOLOR","T",7.56,"pH units",NA,"pH units",NA,"","A",""
"17ALG003","PHOSPHORUS, DISSOLVED (AS P)",2017-06-14,"7723-14-0","D",0.0042,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG003","PHOSPHORUS, TOTAL (AS P)",2017-06-14,"7723-14-0","T",0.0135,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG003","TOTAL ORGANIC CARBON",2017-06-14,"TOC","T",2.1,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"17ALG004","Color, True",2017-06-14,"COLOR","T",18,"color unit",NA,"color unit",1,"","J","estimated value due to Equipment Blank error"
"17ALG004","Nitrate+Nitrite as Nitrogen",2017-06-14,"NO3NO2N","T",0.239,"mg/l",0.0025,"mg/l",0.0025,"","A",""
"17ALG004","Nitrogen, ammonia (As N)",2017-06-14,"7664-41-7","T",0.0785,"mg/l",8e-04,"mg/l",0.005,"","A",""
"17ALG004","NITROGEN, KJELDAHL, TOTAL",2017-06-14,"KN","T",0.28,"mg/l",0.08,"mg/l",0.1,"","A",""
"17ALG004","pH of Color Analysis",2017-06-14,"PHCOLOR","T",7.37,"pH units",NA,"pH units",NA,"","A",""
"17ALG004","PHOSPHORUS, DISSOLVED (AS P)",2017-06-14,"7723-14-0","D",0.005,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG004","PHOSPHORUS, TOTAL (AS P)",2017-06-14,"7723-14-0","T",0.0224,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG004","TOTAL ORGANIC CARBON",2017-06-14,"TOC","T",1.8,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"17ALG005","ALKALINITY, TOTAL (AS CaCO3)",2017-06-14,"ALK","T",53.2,"mg/l",1,"mg/l",2,"","A",""
"17ALG005","Chlorophyll A",2017-06-14,"479-61-8","T",8.63,"ug/l",NA,"ug/l",0.32,"","A",""
"17ALG005","Color, True",2017-06-14,"COLOR","T",15,"color unit",NA,"color unit",1,"","T",""
"17ALG005","Nitrate+Nitrite as Nitrogen",2017-06-14,"NO3NO2N","T",0.134,"mg/l",0.0025,"mg/l",0.0025,"","A",""
"17ALG005","Nitrogen, ammonia (As N)",2017-06-14,"7664-41-7","T",0.0171,"mg/l",8e-04,"mg/l",0.005,"","A",""
"17ALG005","NITROGEN, KJELDAHL, TOTAL",2017-06-14,"KN","T",0.35,"mg/l",0.08,"mg/l",0.1,"","A",""
"17ALG005","pH of Color Analysis",2017-06-14,"PHCOLOR","T",7.84,"pH units",NA,"pH units",NA,"","A",""
"17ALG005","PHOSPHORUS, DISSOLVED (AS P)",2017-06-14,"7723-14-0","D",0.0034,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG005","PHOSPHORUS, TOTAL (AS P)",2017-06-14,"7723-14-0","T",0.013,"mg/l",0.002,"mg/l",0.003,"","A",""
"17ALG005","TOTAL ORGANIC CARBON",2017-06-14,"TOC","T",2.1,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"17ALG006","Color, True",2017-06-14,"COLOR","T",16,"color unit",NA,"color unit",1,"","J","estimated value due to Equipment Blank error"
"17ALG006","Nitrate+Nitrite as Nitrogen",2017-06-14,"NO3NO2N","T",0.127,"mg/l",0.0025,"mg/l",0.0025,"","A",""
"17ALG006","Nitrogen, ammonia (As N)",2017-06-14,"7664-41-7","T",0.047,"mg/l",8e-04,"mg/l",0.005,"","A",""
"17ALG006","NITROGEN, KJELDAHL, TOTAL",2017-06-14,"KN","T",0.25,"mg/l",0.08,"mg/l",0.1,"","A",""
