DEC_sample_type,sys_sample_code,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.x,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,X.data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.y
,293535-LCS1,E200.8,7/25/2017 17:01,T,NA,initial,WQ,LB,NA,NA,1,CLP-METALS ILM05.3,7/24/2017 0:00,NA,NA,ALSRNY,quant,LCSW-293535,NA,50,mL,NA,NA,NA,NA,50,mL,7440-38-2,Arsenic,18.2,NA,SC,Yes,Y,,NA,,NA,0.389,NA,1,ug/l,ug/l,NA,0.39,NA,NA,NA,NA,,NA,20,18.2,91,NA,NA,NA,NA,,80,120,NA,,NA,NA,R1706665,ALSRNY,LAB CONTROL SAMPLE,WQ,BS,Lab,,R1706665,7/24/2014 0:00,LAB CONTROL SAMPLE,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
,293535-MB1,E200.8,7/25/2017 16:56,T,NA,initial,WQ,LB,NA,NA,1,CLP-METALS ILM05.3,7/24/2017 0:00,NA,NA,ALSRNY,quant,PBW-293535,NA,50,mL,NA,NA,NA,NA,50,mL,7440-38-2,Arsenic,-0.47,NA,TRG,Yes,Y,J,NA,J,NA,0.389,NA,1,ug/l,ug/l,NA,0.389,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,R1706665,ALSRNY,BLANK,WQ,LB,Lab,,R1706665,7/24/2014 0:00,BLANK,NA,NA,NA,NA,NA,,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB051,SM5310C,6/14/2017 12:11,D,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-001,NA,42,mL,NA,NA,NA,NA,42,mL,DOC,"Carbon, Dissolved Organic (DOC)",6.5,NA,TRG,Yes,Y,,NA,,NA,0.05,NA,1,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB051,E365.1,6/14/2017 19:50,D,NA,initial,WA,LB,NA,NA,1,METHOD,6/12/2017 16:07,NA,NA,ALSRNY,quant,R1705298-001,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, DISSOLVED (AS P)",0.0114,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.003,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB051,SM 2320 B,6/20/2017 18:09,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-001,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",106,NA,TRG,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB051,D6919-09,6/16/2017 12:40,T,NA,initial,WA,LB,NA,NA,10,,,NA,NA,ALSRNY,quant,R1705298-001,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",NA,NA,TRG,Yes,N,U,NA,U,NA,0.008,0.008,0.05,mg/l,mg/l,NA,0.008,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB051,SM10200H,6/19/2017 9:30,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-001,NA,250,mL,NA,NA,NA,NA,NA,,479-61-8,Chlorophyll A,5.91,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.16,ug/l,ug/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB051,SM2120B,6/9/2017 14:00,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-001,NA,0,mL,NA,NA,NA,NA,NA,,COLOR,"Color, True",31,NA,TRG,Yes,Y,,NA,,NA,NA,NA,1,color unit,color unit,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB051,E353.2,6/19/2017 16:56,T,NA,initial,WA,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1705298-001,NA,10,mL,NA,NA,NA,NA,10,mL,NO3NO2N,Nitrate+Nitrite as Nitrogen,NA,NA,TRG,Yes,N,U,NA,U,NA,0.0025,0.0025,0.0025,mg/l,mg/l,NA,0.0025,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
N,17UHB051,E351.2,6/27/2017 11:06,T,NA,initial,WA,LB,NA,NA,1,METHOD,6/26/2017 12:45,NA,NA,ALSRNY,quant,R1705298-001,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.6,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,R1705298,ALSRNY,17UHB051,WA,N,Field,,R1705298,6/8/2017 11:00,17UHB051,NA,NA,NA,NA,NA,6/9/2017,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
