"","Sample Name","Characteristic Name","Analysis Start Date","cas_rn","Result Sample Fraction","result value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","Lab Name Code","Lab Sample Name","Result Value Type","reporting_detection_limit","Analysis Date Timezone","Results Detection Condition"
"1","18BLK001","ALKALINITY, TOTAL (AS CaCO3)","2018-06-27","ALK","T",16.4,"mg/l",1,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"2","18BLK001","Chlorophyll A","2018-06-27","479-61-8","T",2.02,"ug/l",NA,"ug/l",0.08,"","A","",NA,NA,NA,NA,"EDT",""
"3","18BLK001","Color, True","2018-06-27","COLOR","T",21,"color unit",NA,"color unit",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"4","18BLK001","Nitrate+Nitrite as Nitrogen","2018-06-27","NO3NO2N","T",0.0041,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"5","18BLK001","Nitrogen, ammonia (As N)","2018-06-27","7664-41-7","T",0.0074,"mg/l",8e-04,"mg/l",0.005,"","A","",NA,NA,NA,NA,"EDT",""
"6","18BLK001","NITROGEN, KJELDAHL, TOTAL","2018-06-27","KN","T",0.32,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"7","18BLK001","pH of Color Analysis","2018-06-27","PHCOLOR","T",7.32,"pH units",NA,"pH units",NA,"","A","",NA,NA,NA,NA,"EDT",""
"8","18BLK001","PHOSPHORUS, DISSOLVED (AS P)","2018-06-27","7723-14-0","D",0.006,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"9","18BLK001","PHOSPHORUS, TOTAL (AS P)","2018-06-27","7723-14-0","T",NA,"mg/l",0.004,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",NA,NA,NA,NA,"EDT","Not Detected"
"10","18BLK001","SULFATE (AS SO4)","2018-06-27","14808-79-8","T",2.8,"mg/l",0.2,"mg/l",2,"","A","",NA,NA,NA,NA,"EDT",""
"11","18BLK001","TOTAL ORGANIC CARBON","2018-06-27","TOC","T",4,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error",NA,NA,NA,NA,"EDT",""
"12","18BLK001","UV 254","2018-06-27","UV254","T",0.086,"1/cm",NA,"1/cm",NA,"","A","",NA,NA,NA,NA,"EDT",""
