"sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"18BLK001","ALKALINITY, TOTAL (AS CaCO3)",2018-06-27,"ALK","T",16.4,"mg/l",1,"mg/l",2,"","A",""
"18BLK001","Chlorophyll A",2018-06-27,"479-61-8","T",2.02,"ug/l",NA,"ug/l",0.08,"","A",""
"18BLK001","Color, True",2018-06-27,"COLOR","T",21,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK001","Nitrate+Nitrite as Nitrogen",2018-06-27,"NO3NO2N","T",0.0041,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error"
"18BLK001","Nitrogen, ammonia (As N)",2018-06-27,"7664-41-7","T",0.0074,"mg/l",8e-04,"mg/l",0.005,"","A",""
"18BLK001","NITROGEN, KJELDAHL, TOTAL",2018-06-27,"KN","T",0.32,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error"
"18BLK001","pH of Color Analysis",2018-06-27,"PHCOLOR","T",7.32,"pH units",NA,"pH units",NA,"","A",""
"18BLK001","PHOSPHORUS, DISSOLVED (AS P)",2018-06-27,"7723-14-0","D",0.006,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Precision error"
"18BLK001","PHOSPHORUS, TOTAL (AS P)",2018-06-27,"7723-14-0","T",NA,"mg/l",0.004,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"18BLK001","SULFATE (AS SO4)",2018-06-27,"14808-79-8","T",2.8,"mg/l",0.2,"mg/l",2,"","A",""
"18BLK001","TOTAL ORGANIC CARBON",2018-06-27,"TOC","T",4,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK001","UV 254",2018-06-27,"UV254","T",0.086,"1/cm",NA,"1/cm",NA,"","A",""
"18BLK002","Arsenic",2018-06-27,"7440-38-2","T",NA,"ug/l",0.39,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error"
"18BLK002","Color, True",2018-06-27,"COLOR","T",22,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK002","Iron",2018-06-27,"7439-89-6","T",148,"ug/l",13,"ug/l",100,"","A",""
"18BLK002","Manganese",2018-06-27,"7439-96-5","T",161,"ug/l",1.7,"ug/l",10,"","A",""
"18BLK002","Nitrate+Nitrite as Nitrogen",2018-06-27,"NO3NO2N","T",0.0491,"mg/l",7e-04,"mg/l",0.002,"","J","estimated value due to Equipment Blank error"
"18BLK002","Nitrogen, ammonia (As N)",2018-06-27,"7664-41-7","T",0.13,"mg/l",8e-04,"mg/l",0.005,"","A",""
"18BLK002","NITROGEN, KJELDAHL, TOTAL",2018-06-27,"KN","T",0.5,"mg/l",0.08,"mg/l",0.1,"","T",""
"18BLK002","pH of Color Analysis",2018-06-27,"PHCOLOR","T",6.65,"pH units",NA,"pH units",NA,"","A",""
"18BLK002","PHOSPHORUS, DISSOLVED (AS P)",2018-06-27,"7723-14-0","D",0.008,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Precision error"
"18BLK002","PHOSPHORUS, TOTAL (AS P)",2018-06-27,"7723-14-0","T",0.0093,"mg/l",0.002,"mg/l",0.005,"","A",""
"18BLK002","SULFATE (AS SO4)",2018-06-27,"14808-79-8","T",2.6,"mg/l",0.2,"mg/l",2,"","A",""
"18BLK002","TOTAL ORGANIC CARBON",2018-06-27,"TOC","T",4.7,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK002","UV 254",2018-06-27,"UV254","T",0.0885,"1/cm",NA,"1/cm",NA,"","A",""
"18BLK003","ALKALINITY, TOTAL (AS CaCO3)",2018-06-27,"ALK","T",15.2,"mg/l",1,"mg/l",2,"","A",""
"18BLK003","Carbon, Dissolved Organic (DOC)",2018-06-27,"DOC","D",4.4,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK003","Chlorophyll A",2018-06-27,"479-61-8","T",1.17,"ug/l",NA,"ug/l",0.04,"","A",""
"18BLK003","Color, True",2018-06-27,"COLOR","T",22,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK003","Nitrate+Nitrite as Nitrogen",2018-06-27,"NO3NO2N","T",0.0627,"mg/l",7e-04,"mg/l",0.002,"","A",""
"18BLK003","Nitrogen, ammonia (As N)",2018-06-27,"7664-41-7","T",0.0135,"mg/l",8e-04,"mg/l",0.005,"","A",""
"18BLK003","NITROGEN, KJELDAHL, TOTAL",2018-06-27,"KN","T",0.35,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error"
"18BLK003","pH of Color Analysis",2018-06-27,"PHCOLOR","T",7.21,"pH units",NA,"pH units",NA,"","A",""
"18BLK003","PHOSPHORUS, DISSOLVED (AS P)",2018-06-27,"7723-14-0","D",0.0058,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Precision error"
"18BLK003","PHOSPHORUS, TOTAL (AS P)",2018-06-27,"7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK003","SULFATE (AS SO4)",2018-06-27,"14808-79-8","T",3.6,"mg/l",0.2,"mg/l",2,"","A",""
"18BLK003","UV 254",2018-06-27,"UV254","T",0.116,"1/cm",NA,"1/cm",NA,"","A",""
"18BLK004","Arsenic",2018-06-27,"7440-38-2","T",0.43,"ug/l",0.39,"ug/l",1,"J","R","estimated value due to lab error ; Precision error"
"18BLK004","Carbon, Dissolved Organic (DOC)",2018-06-27,"DOC","D",4,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK004","Color, True",2018-06-27,"COLOR","T",28,"color unit",NA,"color unit",1,"","R","Equipment Blank error"
"18BLK004","Iron",2018-06-27,"7439-89-6","T",36.9,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error"
"18BLK004","Manganese",2018-06-27,"7439-96-5","T",5.9,"ug/l",1.7,"ug/l",10,"J","J","estimated value due to lab error"
"18BLK004","Nitrate+Nitrite as Nitrogen",2018-06-27,"NO3NO2N","T",0.112,"mg/l",7e-04,"mg/l",0.002,"","A",""
"18BLK004","Nitrogen, ammonia (As N)",2018-06-27,"7664-41-7","T",0.0071,"mg/l",8e-04,"mg/l",0.005,"","A",""
"18BLK004","NITROGEN, KJELDAHL, TOTAL",2018-06-27,"KN","T",0.29,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error"
"18BLK004","pH of Color Analysis",2018-06-27,"PHCOLOR","T",6.78,"pH units",NA,"pH units",NA,"","A",""
"18BLK004","PHOSPHORUS, DISSOLVED (AS P)",2018-06-27,"7723-14-0","D",0.0059,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Precision error"
"18BLK004","PHOSPHORUS, TOTAL (AS P)",2018-06-27,"7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK004","SULFATE (AS SO4)",2018-06-27,"14808-79-8","T",3.8,"mg/l",0.2,"mg/l",2,"","A",""
"18BLK004","UV 254",2018-06-27,"UV254","T",0.117,"1/cm",NA,"1/cm",NA,"","A",""
"18BLK005","ALKALINITY, TOTAL (AS CaCO3)",2018-06-26,"ALK","T",6.8,"mg/l",1,"mg/l",2,"","A",""
"18BLK005","Chlorophyll A",2018-06-26,"479-61-8","T",5.55,"ug/l",NA,"ug/l",0.16,"","A",""
"18BLK005","Color, True",2018-06-26,"COLOR","T",120,"color unit",NA,"color unit",5,"","R","Equipment Blank error"
"18BLK005","Nitrate+Nitrite as Nitrogen",2018-06-26,"NO3NO2N","T",0.0046,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error"
"18BLK005","Nitrogen, ammonia (As N)",2018-06-26,"7664-41-7","T",0.0109,"mg/l",8e-04,"mg/l",0.005,"","R","Equipment Blank error"
"18BLK005","NITROGEN, KJELDAHL, TOTAL",2018-06-26,"KN","T",0.52,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error"
"18BLK005","pH of Color Analysis",2018-06-26,"PHCOLOR","T",7.81,"pH units",NA,"pH units",NA,"","A",""
"18BLK005","PHOSPHORUS, DISSOLVED (AS P)",2018-06-26,"7723-14-0","D",NA,"mg/l",0.004,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Precision error"
"18BLK005","PHOSPHORUS, TOTAL (AS P)",2018-06-26,"7723-14-0","T",NA,"mg/l",0.002,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK005","TOTAL ORGANIC CARBON",2018-06-26,"TOC","T",5.6,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK006","Color, True",2018-06-26,"COLOR","T",230,"color unit",NA,"color unit",10,"","R","Equipment Blank error"
"18BLK006","Nitrate+Nitrite as Nitrogen",2018-06-26,"NO3NO2N","T",0.0852,"mg/l",7e-04,"mg/l",0.002,"","R","Equipment Blank error"
"18BLK006","Nitrogen, ammonia (As N)",2018-06-26,"7664-41-7","T",0.139,"mg/l",8e-04,"mg/l",0.005,"","R","Equipment Blank error"
"18BLK006","NITROGEN, KJELDAHL, TOTAL",2018-06-26,"KN","T",0.55,"mg/l",0.08,"mg/l",0.1,"","R","Equipment Blank error"
"18BLK006","pH of Color Analysis",2018-06-26,"PHCOLOR","T",6.48,"pH units",NA,"pH units",NA,"","A",""
"18BLK006","PHOSPHORUS, DISSOLVED (AS P)",2018-06-26,"7723-14-0","D",0.0097,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Precision error"
"18BLK006","PHOSPHORUS, TOTAL (AS P)",2018-06-26,"7723-14-0","T",0.013,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error"
"18BLK006","TOTAL ORGANIC CARBON",2018-06-26,"TOC","T",5.9,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK007","ALKALINITY, TOTAL (AS CaCO3)",2018-06-27,"ALK","T",5.2,"mg/l",1,"mg/l",2,"","A",""
"18BLK007","Chlorophyll A",2018-06-27,"479-61-8","T",2.7,"ug/l",NA,"ug/l",0.08,"","A",""
"18BLK007","Color, True",2018-06-27,"COLOR","T",180,"color unit",NA,"color unit",10,"","A",""
"18BLK007","Nitrate+Nitrite as Nitrogen",2018-06-27,"NO3NO2N","T",0.0376,"mg/l",7e-04,"mg/l",0.002,"","J","estimated value due to Equipment Blank error"
"18BLK007","Nitrogen, ammonia (As N)",2018-06-27,"7664-41-7","T",NA,"mg/l",8e-04,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"18BLK007","NITROGEN, KJELDAHL, TOTAL",2018-06-27,"KN","T",0.4,"mg/l",0.08,"mg/l",0.1,"","T",""
"18BLK007","pH of Color Analysis",2018-06-27,"PHCOLOR","T",7.21,"pH units",NA,"pH units",NA,"","A",""
"18BLK007","PHOSPHORUS, DISSOLVED (AS P)",2018-06-27,"7723-14-0","D",0.0072,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Precision error ; Result should be less than the total"
"18BLK007","PHOSPHORUS, TOTAL (AS P)",2018-06-27,"7723-14-0","T",0.005,"mg/l",0.002,"mg/l",0.005,"","A",""
"18BLK007","TOTAL ORGANIC CARBON",2018-06-27,"TOC","T",6.5,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK008","Color, True",2018-06-27,"COLOR","T",210,"color unit",NA,"color unit",10,"","A",""
"18BLK008","Nitrate+Nitrite as Nitrogen",2018-06-27,"NO3NO2N","T",0.103,"mg/l",7e-04,"mg/l",0.002,"","A",""
"18BLK008","Nitrogen, ammonia (As N)",2018-06-27,"7664-41-7","T",0.12,"mg/l",8e-04,"mg/l",0.005,"","A",""
"18BLK008","NITROGEN, KJELDAHL, TOTAL",2018-06-27,"KN","T",0.5,"mg/l",0.08,"mg/l",0.1,"","T",""
"18BLK008","pH of Color Analysis",2018-06-27,"PHCOLOR","T",6.27,"pH units",NA,"pH units",NA,"","A",""
"18BLK008","PHOSPHORUS, DISSOLVED (AS P)",2018-06-27,"7723-14-0","D",0.0065,"mg/l",0.002,"mg/l",0.005,"","R","Equipment Blank error ; Precision error"
"18BLK008","PHOSPHORUS, TOTAL (AS P)",2018-06-27,"7723-14-0","T",0.0107,"mg/l",0.002,"mg/l",0.005,"","A",""
"18BLK008","TOTAL ORGANIC CARBON",2018-06-27,"TOC","T",6.6,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error"
"18BLK011","ALKALINITY, TOTAL (AS CaCO3)",2018-06-26,"ALK","T",21.2,"mg/l",1,"mg/l",2,"","A",""
"18BLK011","Chlorophyll A",2018-06-26,"479-61-8","T",11,"ug/l",NA,"ug/l",0.8,"","A",""
"18BLK011","Color, True",2018-06-26,"COLOR","T",250,"color unit",NA,"color unit",10,"","R","Equipment Blank error"
